case_id,date,time,zone,reportareadesc,neighborhddesc,locdesc,officer,emunit,emdivision,emsection,emshift,race,sex,age,timedisp,timearrive,timeclear,geox,geoy,addtime,ncodedesc,dispdesc,streetdir,street,city,state,zip,reccount,month,year
342201013402,2022-01-24,08:48:00,3425.0,137,CORAL RIDGE ASSOCIATION,,42215,OPB,PATR,PATR,FL01,,,,851.0,851.0,917.0,94761825,65946619,2022-01-24T09:27:36.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,,BAYVIEW DR,FORT LAUDERDALE,FL,33304,1,1,2022
342201013373,2022-01-24,07:37:00,3452.0,203,,,41874,OPS,PATR,PATR,FL02,,,,740.0,750.0,945.0,92785694,65985756,2022-01-24T09:52:20.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 16TH CT,FORT LAUDERDALE,FL,33311,1,1,2022
342201013152,2022-01-23,19:10:00,3451.0,211,LAUDERDALE MANORS HOA,,41822,OPS,PATR,PATR,FL02,,,,1910.0,1923.0,2020.0,93127069,65621613,2022-01-23T20:26:45.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,W,W SUNRISE BLVD,FORT LAUDERDALE,FL,33311,1,1,2022
342201013125,2022-01-23,18:19:00,3412.0,303,CENTRAL BEACH ALLIANCE,,43674,OPB,PATR,PATR,FL02,,,,1819.0,1820.0,2137.0,94974781,65064919,2022-01-23T21:42:51.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,,ALMOND AV,FORT LAUDERDALE,FL,33316,1,1,2022
342201013100,2022-01-23,17:36:00,3451.0,211,LAUDERDALE MANORS HOA,,46037,OPS,OPSB,TRNG,FL01,,,,1738.0,1746.0,1755.0,93127069,65621613,2022-01-23T18:01:07.000,40-VANDALISM/MALICIO,M-SAME AS PREVIOUS CASE,W,W SUNRISE BLVD,FORT LAUDERDALE,FL,33311,1,1,2022
342201013075,2022-01-23,16:47:00,3463.0,104,,,45267,OPB,OPSB,TRNG,FL01,,,,1651.0,1704.0,1813.0,92778819,68114644,2022-01-23T18:21:09.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 21ST AV,FORT LAUDERDALE,FL,33309,1,1,2022
342201012896,2022-01-23,10:16:00,3494.0,328,MELROSE PARK,,41864,OPB,PATR,PATR,FL01,,,,1027.0,1037.0,1121.0,92020188,65051025,2022-01-23T11:25:22.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,W,W BROWARD BLVD,FORT LAUDERDALE,FL,33312,1,1,2022
342201012867,2022-01-23,09:19:00,3425.0,130,CORAL RIDGE ASSOCIATION,,45900,OPB,OPSD,PATR,FL02,,,,921.0,1009.0,1046.0,94603581,66743294,2022-01-23T10:55:16.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,E,E OAKLAND PARK BLVD,FORT LAUDERDALE,FL,33306,1,1,2022
342201012841,2022-01-23,07:39:00,3475.0,305,TARPON RIVER CIVIC ASSOC,,46120,OPB,OPSB,PATR,FL01,,,,757.0,807.0,908.0,93626119,64633681,2022-01-23T09:19:57.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 11TH ST,FORT LAUDERDALE,FL,33315,1,1,2022
342201012724,2022-01-23,12:09:00,3450.0,213,SOUTH MIDDLE RIVER CIVIC ASSOC,,44784,OPB,PATR,PATR,FL03,,,,130.0,135.0,150.0,93600119,65649406,2022-01-23T01:59:11.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 3RD AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201012222,2022-01-22,07:42:00,3470.0,323,EDGEWOOD CIVIC ASSOC,,0,,,,,,,,,,,93321588,63859069,2022-01-22T19:05:58.000,40-VANDALISM/MALICIO,M-SAME AS PREVIOUS CASE,SW,SW 29TH ST,FORT LAUDERDALE,FL,33315,1,1,2022
342201012220,2022-01-22,07:41:00,3411.0,132,CENTRAL BEACH ALLIANCE,LAT: <26.156714>  LONG: <,41819,OPS,PATR,PATR,FL01,,,,746.0,752.0,759.0,95068613,66366488,2022-01-22T19:05:56.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NE,NE 33RD AV,FORT LAUDERDALE,FL,33305,1,1,2022
342201012081,2022-01-22,01:09:00,3472.0,318,CROISSANT PARK CIVIC ASSOC,,46235,OPB,OPSB,TRNG,FL01,,,,25.0,32.0,250.0,93708769,64197488,2022-01-22T19:05:47.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 19TH ST,FORT LAUDERDALE,FL,33315,1,1,2022
342201011764,2022-01-21,13:21:00,3451.0,211,LAUDERDALE MANORS HOA,,45528,OPB,OPSB,TRNG,FL01,,,,1321.0,1321.0,1431.0,93175338,65824006,2022-01-22T19:06:17.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,,CHATEAU PARK DR,FORT LAUDERDALE,FL,33311,1,1,2022
342201011720,2022-01-21,12:23:00,3460.0,109,,1056 AT THE 7-11 MOBIL AT,45267,OPB,OPSB,TRNG,FL01,,,,1331.0,1332.0,1349.0,92264963,67423394,2022-01-21T13:58:28.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,,NW 31ST AV/W COMMERCIAL BLVD,FORT LAUDERDALE,FL,33309,1,1,2022
342201011703,2022-01-21,11:53:00,3462.0,108,,,41841,OPB,LTDY,PATR,FL02,,,,1155.0,1203.0,1330.0,93239569,67775219,2022-01-21T13:43:21.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 56TH ST,FORT LAUDERDALE,FL,33309,1,1,2022
342201011691,2022-01-21,11:36:00,3410.0,128,GALT MILE COMMUNITY ASSOC,,44685,OPB,PATR,PATR,FL01,,,,1201.0,1211.0,1249.0,95090406,66760419,2022-01-21T13:03:06.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,E,E OAKLAND PARK BLVD,FORT LAUDERDALE,FL,33308,1,1,2022
342201011464,2022-01-20,21:57:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,41881,INV,INVB,LCU,FL01,,,,2226.0,2231.0,2324.0,94298144,65664744,2022-01-20T23:33:14.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 17TH AV,FORT LAUDERDALE,FL,33304,1,1,2022
342201011350,2022-01-20,17:53:00,3420.0,218,FLAGLER VILLAGE CIVIC ASSOC,,43167,OPB,PATR,PATR,FL03,,,,1755.0,1805.0,105.0,93708075,65389394,2022-01-21T01:13:28.000,40-VANDALISM/MALICIO,WRITTEN REPORT,N,N ANDREWS AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201011252,2022-01-20,15:15:00,3490.0,234,RIVERSIDE PARK RESIDENTS ASSOC,,44893,OPS,OPSB,PATR,FL01,,,,1547.0,1606.0,1658.0,93105781,64635438,2022-01-20T17:16:33.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,SW,SW 15TH TER,FORT LAUDERDALE,FL,33312,1,1,2022
342201011001,2022-01-20,07:59:00,3441.0,214,,,41821,OPS,PATR,PATR,FL01,,,,804.0,817.0,856.0,92726625,65534731,2022-01-20T09:02:23.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 9TH ST,FORT LAUDERDALE,FL,33311,1,1,2022
342201010882,2022-01-20,10:00:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,45631,OPS,OPSB,PATR,FL03,,,,135.0,141.0,226.0,94138906,65715138,2022-01-20T02:31:27.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 11TH ST,FORT LAUDERDALE,FL,33304,1,1,2022
342201010731,2022-01-19,18:17:00,3491.0,225,RIVERLAND CIVIC ASSOC,,45030,OPB,OPSB,TRNG,FL01,,,,1818.0,1822.0,1945.0,92722444,64731300,2022-01-19T19:53:18.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 7TH ST,FORT LAUDERDALE,FL,33312,1,1,2022
342201010729,2022-01-19,18:11:00,3463.0,150,,,41982,OPB,PATR,PATR,FL03,,,,1811.0,1811.0,12.0,93549800,68320356,2022-01-20T00:19:59.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,W,W MCNAB RD,FORT LAUDERDALE,FL,33309,1,1,2022
342201010695,2022-01-19,17:02:00,3471.0,313,HARBORDALE CIVIC ASSOC,,41970,OPS,PATR,PATR,FL02,,,,1704.0,1709.0,1818.0,94142581,64358150,2022-01-19T18:22:54.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,,CORDOVA RD,FORT LAUDERDALE,FL,33316,1,1,2022
342201010419,2022-01-19,08:34:00,3441.0,217,DURRS HOMEOWNERS ASSOC,,41841,OPB,LTDY,PATR,FL02,,,,834.0,841.0,927.0,93153669,65451188,2022-01-19T09:33:26.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 14TH TER,FORT LAUDERDALE,FL,33311,1,1,2022
342201010224,2022-01-18,20:20:00,3452.0,202,LAKE AIRE PAM VIEW HOA,,44780,OPB,PATR,PATR,FL03,,,,2202.0,2204.0,2222.0,92416919,66136013,2022-01-18T22:30:14.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NW,NW 19TH ST,FORT LAUDERDALE,FL,33311,1,1,2022
342201010192,2022-01-18,19:08:00,3494.0,329,MELROSE PARK,,41866,OPB,LTDY,PATR,FL03,,,,1911.0,1911.0,2154.0,92272025,65058044,2022-01-18T22:00:04.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,W,W BROWARD BLVD,FORT LAUDERDALE,FL,33312,1,1,2022
342201010176,2022-01-18,18:35:00,3452.0,209,DILLARD PARK HOA,,42740,OPB,PATR,PATR,FL01,,,,2348.0,2349.0,2354.0,92762669,65828113,2022-01-18T23:57:14.000,40-VANDALISM/MALICIO,K-UNFOUNDED,NW,NW 13TH CT,FORT LAUDERDALE,FL,33311,1,1,2022
342201010107,2022-01-18,16:53:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,45029,OPB,OPSB,PATR,FL02,,,,1655.0,1711.0,1929.0,94050506,65648738,2022-01-18T19:34:41.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,E,E SUNRISE BLVD,FORT LAUDERDALE,FL,33304,1,1,2022
342201010031,2022-01-18,14:21:00,3463.0,150,,,42137,OPB,OPSB,PATR,FL02,,,,1423.0,1430.0,1541.0,93573525,68130900,2022-01-18T15:46:43.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N ANDREWS AV,FORT LAUDERDALE,FL,33309,1,1,2022
342201009903,2022-01-18,10:09:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,42029,OPS,PATR,PATR,FL01,,,,1027.0,1137.0,1147.0,94075713,65680706,2022-01-18T11:52:24.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 11TH AV,FORT LAUDERDALE,FL,33304,1,1,2022
342201009708,2022-01-17,23:32:00,3491.0,225,RIVERLAND CIVIC ASSOC,,45633,OPB,OPSB,TRNG,FL01,,,,2333.0,2334.0,17.0,92641594,64703350,2022-01-18T00:24:59.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 8TH ST,FORT LAUDERDALE,FL,33312,1,1,2022
342201009671,2022-01-17,21:57:00,3491.0,225,RIVERLAND CIVIC ASSOC,,0,,,,,,,,,,,92829813,64969781,2022-01-17T22:09:43.000,40-VANDALISM/MALICIO,M-SAME AS PREVIOUS CASE,SW,SW 21ST TER,FORT LAUDERDALE,FL,33312,1,1,2022
342201009475,2022-01-17,15:56:00,3481.0,228,DOWNTOWN FORT LAUDERDALE CIVIC ASSOC,,45015,OPB,OPSB,TRNG,FL01,,,,1629.0,1645.0,1730.0,93819713,65047544,2022-01-17T17:38:53.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,,SE 2ND ST/SE 3RD AV,FORT LAUDERDALE,FL,33301,1,1,2022
342201009391,2022-01-17,13:00:00,3451.0,205,LAUDERDALE MANORS HOA,,46037,OPS,OPSB,TRNG,FL01,,,,1305.0,1312.0,1501.0,93283788,65952700,2022-01-17T15:05:54.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 15TH CT,FORT LAUDERDALE,FL,33311,1,1,2022
342201009358,2022-01-17,11:42:00,3452.0,209,DILLARD PARK HOA,,41835,OPS,PATR,PATR,FL02,,,,1341.0,1352.0,1616.0,92751269,65671356,2022-01-17T16:23:37.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 23RD WAY,FORT LAUDERDALE,FL,33311,1,1,2022
342201009352,2022-01-17,11:32:00,3430.0,122,CORAL RIDGE COUNTRY CLUB ESTATE,,41838,OPB,PATR,PATR,FL01,,,,1132.0,1151.0,1223.0,94644950,67430300,2022-01-17T12:25:28.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 23RD AV,FORT LAUDERDALE,FL,33308,1,1,2022
342201009343,2022-01-17,11:13:00,3480.0,227,SAILBOAT BEND CIVIC ASSOC,,42030,OPB,PATR,PATR,FL01,,,,1115.0,1137.0,1234.0,93625100,65029769,2022-01-17T12:35:29.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 3RD AV,FORT LAUDERDALE,FL,33312,1,1,2022
342201009271,2022-01-17,08:47:00,3475.0,312,POINCIANA PARK CIVIC ASSOC,3RD FLOOR NORTH GARAGE,41969,OPB,LTDY,PATR,FL01,,,,908.0,909.0,1022.0,93762888,64366388,2022-01-17T10:28:21.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,S,S ANDREWS AV,FORT LAUDERDALE,FL,33316,1,1,2022
342201009261,2022-01-17,08:29:00,3450.0,213,SOUTH MIDDLE RIVER CIVIC ASSOC,,41848,OPS,PATR,PATR,FL01,,,,900.0,907.0,1103.0,93376394,65658738,2022-01-17T11:09:58.000,40-VANDALISM/MALICIO,O-SUPPLEMENT TO CASE,NW,NW 9TH AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201009254,2022-01-17,08:18:00,3425.0,137,CORAL RIDGE ASSOCIATION,,42104,OPS,PATR,PATR,FL02,,,,821.0,833.0,838.0,94761825,65946619,2022-01-17T08:42:28.000,40-VANDALISM/MALICIO,I-NO POLICE RESPONSE TO NON-EMERGENCY CALL,,BAYVIEW DR,FORT LAUDERDALE,FL,33304,1,1,2022
342201009216,2022-01-17,06:26:00,3462.0,149,,,41848,OPS,PATR,PATR,FL01,,,,628.0,646.0,718.0,93524931,68034381,2022-01-17T07:22:18.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N ANDREWS AV,FORT LAUDERDALE,FL,33309,1,1,2022
342201008753,2022-01-16,11:34:00,3450.0,206,SOUTH MIDDLE RIVER CIVIC ASSOC,,43907,OPB,PATR,PATR,FL02,,,,1134.0,1144.0,1201.0,93774113,66024713,2022-01-16T12:07:40.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 16TH ST,FORT LAUDERDALE,FL,33305,1,1,2022
342201008689,2022-01-16,09:27:00,3480.0,227,SAILBOAT BEND CIVIC ASSOC,,42085,OPS,PATR,PATR,FL03,,,,929.0,930.0,941.0,93567763,65102300,2022-01-16T09:46:52.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,W,W BROWARD BLVD,FORT LAUDERDALE,FL,33312,1,1,2022
342201008431,2022-01-15,20:51:00,3480.0,227,SAILBOAT BEND CIVIC ASSOC,,46412,OPB,OPSB,TRNG,FL01,,,,2133.0,2136.0,2147.0,93228013,65089394,2022-01-15T21:51:58.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,W,W BROWARD BLVD,FORT LAUDERDALE,FL,33312,1,1,2022
342201008394,2022-01-15,19:42:00,3481.0,228,DOWNTOWN FORT LAUDERDALE CIVIC ASSOC,,44823,OPS,PATR,PATR,FL03,,,,1942.0,1942.0,2016.0,93721750,65002019,2022-01-15T20:20:38.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,W,W LAS OLAS BLVD,FORT LAUDERDALE,FL,33301,1,1,2022
342201008222,2022-01-15,15:13:00,3480.0,227,SAILBOAT BEND CIVIC ASSOC,,46145,OPB,OPSB,TRNG,FL01,,,,1515.0,1604.0,2025.0,93227919,64986150,2022-01-15T20:31:24.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 13TH AV,FORT LAUDERDALE,FL,33312,1,1,2022
342201008185,2022-01-15,14:11:00,3450.0,212,SOUTH MIDDLE RIVER CIVIC ASSOC,,45802,OPB,OPSD,PATR,FL02,,,,1414.0,1414.0,1548.0,93462781,65820294,2022-01-15T15:52:24.000,40-VANDALISM/MALICIO,O-SUPPLEMENT TO CASE,NW,NW 7TH AV,FORT LAUDERDALE,FL,33311,1,1,2022
342201008111,2022-01-15,11:59:00,3411.0,132,CENTRAL BEACH ALLIANCE,,41988,OPS,PATR,PATR,FL01,,,,1200.0,1223.0,1324.0,95105550,66609575,2022-01-15T13:30:58.000,40-VANDALISM/MALICIO,1-REPORT TAKEN,N,N OCEAN BLVD,FORT LAUDERDALE,FL,33308,1,1,2022
342201008108,2022-01-15,11:37:00,3452.0,202,,,42050,OPS,PATR,PATR,FL02,,,,1137.0,1137.0,1150.0,92211531,66131050,2022-01-15T11:55:36.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 19TH ST,FORT LAUDERDALE,FL,33311,1,1,2022
342201008024,2022-01-15,07:56:00,3441.0,217,HOME BEAUTIFUL PARK CIVIC ASSOC,,42028,OPS,PATR,PATR,FL01,,,,757.0,841.0,1041.0,93317281,65519644,2022-01-15T10:50:25.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 10TH TER,FORT LAUDERDALE,FL,33311,1,1,2022
342201008022,2022-01-15,07:53:00,3430.0,122,CORAL RIDGE COUNTRY CLUB ESTATE,,41819,OPS,PATR,PATR,FL01,,,,754.0,822.0,955.0,94640338,67343831,2022-01-15T10:04:12.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 22ND RD,FORT LAUDERDALE,FL,33308,1,1,2022
342201007977,2022-01-15,05:24:00,3441.0,217,DURRS HOMEOWNERS ASSOC,,42723,OPB,PATR,PATR,FL02,,,,727.0,735.0,909.0,93131163,65500031,2022-01-15T09:16:14.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NW,NW 14TH WAY,FORT LAUDERDALE,FL,33311,1,1,2022
342201007706,2022-01-14,18:57:00,3480.0,227,SAILBOAT BEND CIVIC ASSOC,,41989,OPS,PATR,PATR,FL03,,,,1857.0,1903.0,1909.0,93554806,65069294,2022-01-14T19:14:26.000,40-VANDALISM/MALICIO,G-GONE ARRIVAL (GOA),SW,SW 5TH AV,FORT LAUDERDALE,FL,33312,1,1,2022
342201007410,2022-01-14,10:02:00,3450.0,213,SOUTH MIDDLE RIVER CIVIC ASSOC,,41841,OPB,LTDY,PATR,FL02,,,,1003.0,1011.0,1057.0,93749319,65828513,2022-01-14T11:01:48.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 13TH ST,FORT LAUDERDALE,FL,33304,1,1,2022
342201006907,2022-01-13,13:57:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,46306,OPB,OPSB,TRNG,FL01,,,,1416.0,1432.0,1541.0,94132344,65805013,2022-01-13T15:48:58.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,NE,NE 13TH AV,FORT LAUDERDALE,FL,33304,1,1,2022
342201006870,2022-01-13,13:10:00,3481.0,151,COLEE HAMMOCK HOA,,45015,OPB,OPSB,TRNG,FL01,,,,1316.0,1332.0,1450.0,94088756,64991550,2022-01-13T14:58:13.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SE,SE 11TH AV,FORT LAUDERDALE,FL,33301,1,1,2022
342201006831,2022-01-13,12:27:00,3431.0,152,,,42104,OPS,PATR,PATR,FL02,,,,1400.0,,1405.0,94008613,68130725,2022-01-13T14:13:02.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NE,NE 63RD CT,FORT LAUDERDALE,FL,33334,1,1,2022
342201006757,2022-01-13,10:10:00,3425.0,144,CORAL RIDGE ASSOCIATION,INSIDE LIME PARKING GARAG,46510,OPB,PATR,TRNG,FL01,,,,1023.0,1032.0,1059.0,94651881,65679544,2022-01-13T11:00:34.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,E,E SUNRISE BLVD,FORT LAUDERDALE,FL,33304,1,1,2022
342201006609,2022-01-13,05:05:00,3470.0,323,EDGEWOOD CIVIC ASSOC,,42003,OPB,PATR,PATR,FL03,,,,56.0,59.0,212.0,93326563,63831844,2022-01-13T02:18:39.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,SW,SW 30TH ST,FORT LAUDERDALE,FL,33315,1,1,2022
342201006594,2022-01-13,01:05:00,3472.0,318,CROISSANT PARK CIVIC ASSOC,,42003,OPB,PATR,PATR,FL03,,,,20.0,32.0,32.0,93583044,64028244,2022-01-13T00:38:31.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,SW,SW 24TH ST,FORT LAUDERDALE,FL,33315,1,1,2022
342201006490,2022-01-12,19:03:00,3424.0,208,MIDDLE RIVER TERR NEIGHBOR,,41961,OPB,OPSD,PATR,FL02,,,,1905.0,1923.0,2005.0,94086381,66206031,2022-01-12T20:12:32.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N DIXIE HWY,FORT LAUDERDALE,FL,33305,1,1,2022
342201006487,2022-01-12,18:56:00,3422.0,140,LAKE RIDGE RESIDENTS ASSOC,,43167,OPB,PATR,PATR,FL03,,,,1929.0,1949.0,2001.0,94012725,65724538,2022-01-12T20:07:30.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NE,NE 9TH AV,FORT LAUDERDALE,FL,33304,1,1,2022
342201006384,2022-01-12,16:11:00,3420.0,222,FLAGLER VILLAGE CIVIC ASSOC,,42075,OPS,PATR,PATR,FL02,,,,1717.0,1717.0,1720.0,93744156,65313263,2022-01-12T17:26:56.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NE,NE 1ST AV,FORT LAUDERDALE,FL,33301,1,1,2022
342201006376,2022-01-12,15:58:00,3424.0,208,MIDDLE RIVER TERR NEIGHBOR,,41823,OPB,PATR,PATR,FL03,,,,1600.0,1609.0,1652.0,93938131,65898538,2022-01-12T16:56:51.000,40-VANDALISM/MALICIO,,NE,NE 14TH ST,FORT LAUDERDALE,FL,33304,1,1,2022
342201006188,2022-01-12,10:10:00,3425.0,131,CORAL RIDGE ASSOCIATION,,41819,OPS,PATR,PATR,FL01,,,,1018.0,1028.0,1033.0,94852381,66626300,2022-01-12T10:36:03.000,40-VANDALISM/MALICIO,B-ASSISTANCE RENDERED,NE,NE 28TH ST,FORT LAUDERDALE,FL,33306,1,1,2022
342201006138,2022-01-12,08:17:00,3430.0,122,CORAL RIDGE COUNTRY CLUB ESTATE,,41819,OPS,PATR,PATR,FL01,,,,818.0,832.0,927.0,94801869,67563144,2022-01-12T09:30:53.000,40-VANDALISM/MALICIO,1-REPORT TAKEN,E,E COMMERCIAL BLVD,FORT LAUDERDALE,FL,33308,1,1,2022
342201006004,2022-01-11,23:29:00,3425.0,131,CORAL RIDGE ASSOCIATION,,44049,OPB,PATR,PATR,FL01,,,,46.0,50.0,112.0,94852381,66626300,2022-01-12T01:19:58.000,40-VANDALISM/MALICIO,I-NO POLICE RESPONSE TO NON-EMERGENCY CALL,NE,NE 28TH ST,FORT LAUDERDALE,FL,33306,1,1,2022
342201005985,2022-01-11,22:31:00,3463.0,150,,,44923,OPB,PATR,PATR,FL01,,,,2231.0,2231.0,2242.0,93599763,68161688,2022-01-11T22:49:42.000,40-VANDALISM/MALICIO,A-REPORT WRITTEN,N,N ANDREWS AV,FORT LAUDERDALE,FL,33309,1,1,2022
342201005715,2022-01-11,12:22:00,3412.0,303,CENTRAL BEACH ALLIANCE,,41845,OPB,PATR,PATR,FL01,,,,1225.0,1251.0,1539.0,95011563,65119056,2022-01-11T15:48:27.000,40-VANDALISM/MALICIO,,S,S FT LAUDERDALE BCH BLVD,FORT LAUDERDALE,FL,33316,1,1,2022
